Date,Close/Last,Open,High,Low
06/12/2024,7864.70,7813.77,7875.18,7802.01
06/11/2024,7789.21,7921.09,7931.72,7759.84
06/10/2024,7893.98,7812.52,7893.98,7812.52
06/07/2024,8001.80,8046.92,8048.59,7943.29
06/06/2024,8040.12,8044.29,8055.52,8015.69
06/05/2024,8006.57,7983.03,7983.03,7983.03
06/04/2024,7937.90,7974.44,7984.25,7914.27
06/03/2024,7998.02,8069.62,8072.31,7995.08
05/31/2024,7992.87,7972.55,7996.89,7960.17
05/30/2024,7978.51,7914.85,7981.08,7914.17
05/29/2024,7935.03,8033.56,8040.03,7926.42
05/28/2024,8057.80,8134.72,8148.76,8041.02
05/27/2024,8132.49,8088.34,8132.49,8086.76
05/24/2024,8094.97,8053.79,8104.07,8042.30
05/23/2024,8102.33,8104.31,8135.81,8082.48
05/22/2024,8092.11,8128.58,8128.58,8078.50
05/21/2024,8141.46,8163.17,8167.50,8097.98
05/20/2024,8195.97,8178.63,8221.30,8175.01
05/17/2024,8167.50,8176.79,8192.92,8135.80
05/16/2024,8188.49,8239.77,8242.77,8183.19
05/15/2024,8239.99,8241.68,8253.10,8203.40
05/14/2024,8225.80,8213.81,8233.18,8187.69
05/13/2024,8209.28,8211.07,8223.81,8186.77
05/10/2024,8219.14,8232.65,8259.19,8211.20
05/09/2024,8187.65,8123.92,8191.92,8114.88
05/08/2024,8131.41,8093.62,8157.48,8088.83
05/07/2024,8075.68,8036.75,8077.64,8006.31
05/06/2024,7996.64,7975.86,8033.23,7961.45
05/03/2024,7957.57,7943.87,8003.95,7921.21
05/02/2024,7914.65,7954.01,7962.57,7908.63
04/30/2024,7984.93,8073.64,8081.71,7971.80
04/29/2024,8065.15,8116.43,8128.00,8065.15
04/26/2024,8088.24,8072.23,8114.63,8024.62
04/25/2024,8016.65,8094.55,8097.82,7955.51
04/24/2024,8091.86,8105.22,8146.96,8078.77
04/23/2024,8105.78,8064.32,8111.17,8052.57
04/22/2024,8040.36,8068.14,8071.81,8007.45
04/19/2024,8022.41,7971.68,8039.48,7946.84
04/18/2024,8023.26,8013.91,8039.19,7976.40
04/17/2024,7981.51,7958.52,8060.99,7957.88
04/16/2024,7932.61,7899.36,7975.96,7899.36
04/15/2024,8045.11,8051.26,8126.38,8028.84
04/12/2024,8010.83,8092.45,8118.02,7980.39
04/11/2024,8023.74,8048.16,8092.82,7974.06
04/10/2024,8045.38,8101.04,8101.12,7976.01
04/09/2024,8049.17,8090.47,8103.20,8032.27
04/08/2024,8119.30,8050.02,8145.22,8049.51
04/05/2024,8061.31,8050.25,8062.01,8019.29
04/04/2024,8151.55,8154.41,8189.66,8137.98
04/03/2024,8153.23,8144.96,8160.04,8120.95
04/02/2024,8130.05,8195.65,8253.05,8121.39
03/28/2024,8205.81,8216.77,8253.59,8205.81
03/27/2024,8204.81,8186.07,8230.38,8174.26
03/26/2024,8184.75,8160.64,8188.53,8136.64
03/25/2024,8151.60,8147.80,8165.95,8101.83
03/22/2024,8151.92,8149.23,8179.32,8129.17
03/21/2024,8179.72,8228.71,8229.25,8139.52
03/20/2024,8161.41,8149.71,8168.23,8125.65
03/19/2024,8201.05,8145.50,8202.36,8140.60
03/18/2024,8148.14,8175.98,8184.34,8134.14
03/15/2024,8164.35,8163.19,8212.69,8153.76
03/14/2024,8161.42,8158.27,8218.07,8153.69
03/13/2024,8137.58,8104.34,8156.64,8090.31
03/12/2024,8087.48,8052.16,8094.07,8000.23
03/11/2024,8019.73,7985.37,8025.41,7984.06
03/08/2024,8028.01,8018.10,8048.09,8008.04
03/07/2024,8016.22,7925.41,8029.37,7905.41
03/06/2024,7954.74,7925.79,7969.45,7919.37
03/05/2024,7932.82,7946.89,7963.96,7923.71
03/04/2024,7956.41,7934.35,7956.41,7916.71
03/01/2024,7934.17,7950.66,7964.78,7900.48
02/29/2024,7927.43,7972.86,7972.86,7972.86
02/28/2024,7954.39,7947.23,7956.73,7931.67
02/27/2024,7948.40,7926.68,7955.48,7917.08
02/26/2024,7929.82,7950.15,7953.15,7922.89
02/23/2024,7966.68,7921.95,7976.40,7907.84
02/22/2024,7911.60,7875.88,7923.96,7855.01
02/21/2024,7812.09,7802.04,7821.93,7788.68
02/20/2024,7795.22,7764.50,7804.54,7757.49
02/19/2024,7768.55,7742.87,7769.13,7727.96
02/16/2024,7768.18,7774.39,7800.91,7756.58
02/15/2024,7743.42,7724.49,7752.35,7714.02
02/14/2024,7677.35,7610.06,7681.03,7610.06
02/13/2024,7625.31,7689.05,7691.19,7598.02
02/12/2024,7689.80,7674.14,7693.08,7663.38
02/09/2024,7647.52,7652.45,7668.19,7617.74
02/08/2024,7665.63,7628.60,7685.46,7607.46
02/07/2024,7611.26,7632.84,7652.85,7610.18
02/06/2024,7638.97,7634.19,7641.63,7592.09
02/05/2024,7589.96,7591.77,7606.12,7558.23
02/02/2024,7592.26,7624.45,7644.13,7588.50
02/01/2024,7588.75,7590.15,7620.93,7570.07
01/31/2024,7656.75,7691.66,7702.95,7653.45
01/30/2024,7677.47,7660.65,7686.03,7644.73
01/29/2024,7640.81,7643.04,7649.19,7620.53
01/26/2024,7634.14,7555.05,7645.74,7546.79
01/25/2024,7464.20,7448.05,7466.27,7410.89
01/24/2024,7455.64,7414.76,7466.92,7403.64
01/23/2024,7388.04,7449.38,7449.38,7373.22
01/22/2024,7413.25,7436.61,7453.21,7390.68
01/19/2024,7371.64,7446.82,7446.82,7350.68
01/18/2024,7401.35,7346.71,7409.64,7326.45
01/17/2024,7318.69,7313.26,7323.25,7281.10
01/16/2024,7398.00,7364.11,7399.29,7343.52
01/15/2024,7411.68,7442.68,7466.81,7401.07
01/12/2024,7465.14,7412.68,7478.66,7408.46
01/11/2024,7387.62,7466.11,7479.42,7382.88
01/10/2024,7426.08,7428.26,7454.32,7409.53
01/09/2024,7426.62,7457.26,7462.16,7400.62
01/08/2024,7450.24,7406.24,7451.17,7376.20
01/05/2024,7420.69,7398.40,7441.10,7350.30
01/04/2024,7450.63,7419.85,7455.37,7410.18
01/03/2024,7411.86,7522.81,7532.60,7380.06
01/02/2024,7530.86,7577.33,7610.10,7482.06
12/29/2023,7543.18,7547.53,7569.92,7530.93
12/28/2023,7535.16,7591.85,7593.96,7531.71
12/27/2023,7571.82,7580.97,7603.27,7560.54
12/22/2023,7568.82,7560.97,7589.00,7557.42
12/21/2023,7571.40,7557.16,7574.71,7537.81
12/20/2023,7583.43,7595.25,7604.96,7552.29
12/19/2023,7574.67,7560.57,7579.86,7553.08
12/18/2023,7568.86,7563.31,7580.64,7548.18
12/15/2023,7596.91,7607.92,7641.91,7587.68
12/14/2023,7575.85,7626.54,7653.99,7547.00
12/13/2023,7531.22,7542.10,7579.25,7529.11
12/12/2023,7543.55,7557.32,7582.47,7542.53
